rain,from,to,count
1,upper west side,hamilton heights,6
1,central park,east harlem,1
1,midtown,harlem,1
1,midtown,carnegie hill,10
1,greenwich village,JFK,2
1,upper west side,central park,22
1,little italy,midtown,1
1,little italy,chinatown,1
1,yorkville,midtown,7
1,LGA,hamilton heights,1
1,upper west side,upper west side,229
1,LGA,murray hill,2
1,east village,jamaica,2
1,JFK,upper west side,4
1,harlem,morningside heights,2
1,chinatown,west village,2
1,garment district,murray hill,7
1,battery park,midtown,4
1,financial district,west village,11
1,clinton,LGA,1
1,clinton,east village,7
1,north sutton area,midtown,12
1,sunny side,JFK,1
1,greenwich village,lower east side,11
1,LGA,clinton,1
1,central park,lower east side,1
1,east village,garment district,13
1,central park,midtown,10
1,murray hill,midtown,36
1,upper east side,garment district,37
1,west village,lower east side,3
1,JFK,queens village,2
1,murray hill,financial district,1
1,greenwich village,murray hill,15
1,central park,yorkville,1
1,east village,east village,14
1,upper east side,jackson height,1
1,yorkville,east village,2
1,carroll gardens,LGA,2
1,gramercy,fort green,4
1,murray hill,lower east side,2
1,JFK,forest hills,2
1,astoria-long island city,astoria-long island city,11
1,financial district,murray hill,4
1,murray hill,soho,6
1,battery park,chinatown,2
1,midtown,williamsburg,1
1,upper east side,lower east side,8
1,east village,upper west side,2
1,williamsburg,williamsburg,4
1,upper west side,astoria-long island city,2
1,murray hill,chelsea,6
1,midtown,upper west side,63
1,carnegie hill,battery park,2
1,garment district,west village,6
1,east village,little italy,2
1,williamsburg,lower east side,1
1,east harlem,upper west side,1
1,JFK,upper east side,12
1,JFK,jackson height,2
1,financial district,JFK,2
1,greenwich village,hamilton heights,2
1,west village,midtown,17
1,boerum hill,bedford-stuyvesant,1
1,north sutton area,little italy,1
1,gramercy,east village,28
1,murray hill,fort green,2
1,carnegie hill,east harlem,1
1,greenwich village,little italy,7
1,upper west side,inwood,1
1,soho,bedford-stuyvesant,1
1,lower east side,greenwich village,4
1,yorkville,south bronx,1
1,park slope,carroll gardens,1
1,murray hill,JFK,5
1,north sutton area,garment district,8
1,clinton,greenwich village,3
1,midtown,north sutton area,10
1,inwood,washington heights,2
1,JFK,JFK,4
1,lower east side,JFK,4
1,battery park,little italy,1
1,battery park,gramercy,2
1,murray hill,murray hill,3
1,soho,battery park,4
1,north sutton area,clinton,2
1,upper east side,midtown,134
1,LGA,sunny side,4
1,upper east side,hamilton heights,1
1,greenwich village,williamsburg,1
1,upper west side,morningside heights,15
1,chinatown,financial district,8
1,central park,financial district,2
1,financial district,greenwich village,7
1,financial district,lower east side,11
1,morningside heights,financial district,1
1,soho,LGA,4
1,upper west side,battery park,6
1,clinton,midtown,33
1,hamilton heights,upper east side,5
1,yorkville,north sutton area,2
1,midtown,hamilton heights,1
1,garment district,tribeca,4
1,midtown,greenwich village,27
1,lower east side,chelsea,7
1,central park,chelsea,1
1,lower east side,west village,8
1,soho,midtown,19
1,financial district,garment district,6
1,upper east side,tribeca,2
1,east village,dyker heights,2
1,midtown,central park,20
1,upper east side,morningside heights,6
1,murray hill,chinatown,3
1,sunny side,midtown,2
1,JFK,chelsea,2
1,midtown,morningside heights,2
1,upper west side,JFK,8
1,carnegie hill,central park,2
1,lower east side,harlem,2
1,LGA,upper west side,5
1,chelsea,tribeca,11
1,JFK,garment district,3
1,west village,financial district,2
1,morningside heights,greenwich village,2
1,midtown,little italy,4
1,upper west side,carroll gardens,2
1,morningside heights,garment district,2
1,morningside heights,upper east side,1
1,mapleton-flatlands,mapleton-flatlands,1
1,murray hill,north sutton area,5
1,chelsea,hamilton heights,4
1,gramercy,boerum hill,2
1,garment district,clinton,13
1,chelsea,financial district,13
1,east harlem,yorkville,1
1,astoria-long island city,chelsea,2
1,financial district,little italy,8
1,clinton,astoria-long island city,1
1,gramercy,little italy,2
1,financial district,upper east side,7
1,chelsea,midtown,57
1,little italy,greenwich village,3
1,clinton,financial district,2
1,LGA,chelsea,9
1,little italy,carnegie hill,2
1,tribeca,tribeca,11
1,carnegie hill,little italy,2
1,morningside heights,midtown,2
1,astoria-long island city,gramercy,2
1,midtown,JFK,18
1,financial district,central park,1
1,JFK,ridgewood,2
1,central park,gramercy,6
1,park slope,fort green,1
1,east harlem,carnegie hill,1
1,garment district,north sutton area,2
1,west village,gramercy,4
1,sunny side,clinton,1
1,carnegie hill,upper east side,33
1,clinton,clinton,19
1,chelsea,north sutton area,1
1,upper west side,yorkville,8
1,yorkville,upper east side,17
1,east village,williamsburg,6
1,upper west side,garment district,9
1,harlem,washington heights,2
1,clinton,JFK,5
1,gramercy,soho,9
1,chelsea,battery park,4
1,boerum hill,boerum hill,1
1,upper east side,brooklyn-downtown,2
1,garment district,east village,2
1,greenwich village,north sutton area,1
1,gramercy,financial district,16
1,greenwich village,west village,9
1,murray hill,upper east side,33
1,carroll gardens,greewood,2
1,tribeca,upper east side,6
1,garment district,sunset park,1
1,battery park,upper east side,4
1,JFK,chinatown,2
1,midtown,yorkville,8
1,LGA,mapleton-flatlands,1
1,carnegie hill,midtown,7
1,tribeca,little italy,7
1,upper west side,tribeca,2
1,upper west side,harlem,8
1,upper west side,east harlem,3
1,gramercy,central park,6
1,greenwich village,gramercy,22
1,williamsburg,east village,1
1,midtown,woodhaven-richmond hill,1
1,harlem,upper west side,12
1,upper west side,murray hill,3
1,greenwich village,upper east side,9
1,chinatown,upper east side,2
1,little italy,hamilton heights,1
1,LGA,bushwick,2
1,JFK,mapleton-flatlands,2
1,tribeca,clinton,6
1,chelsea,carnegie hill,4
1,battery park,lower east side,4
1,lower east side,fort green,2
1,east village,lower east side,11
1,little italy,east village,5
1,soho,clinton,3
1,washington heights,west village,2
1,gramercy,yorkville,5
1,central park,garment district,2
1,west village,murray hill,6
1,east village,bedford-stuyvesant,1
1,chelsea,gramercy,56
1,tribeca,chinatown,2
1,chinatown,garment district,2
1,north sutton area,gramercy,8
1,west village,clinton,2
1,midtown,battery park,6
1,JFK,gramercy,8
1,east village,midtown,21
1,hamilton heights,chelsea,2
1,midtown,murray hill,32
1,garment district,gramercy,22
1,tribeca,chelsea,17
1,washington heights,spuyten duyvil,2
1,chelsea,chelsea,55
1,greenwich village,upper west side,6
1,chelsea,upper east side,22
1,murray hill,gramercy,25
1,battery park,carnegie hill,2
1,east village,greenwich village,10
1,bensonhurst,fort green,1
1,gramercy,JFK,6
1,clinton,upper west side,23
1,little italy,soho,2
1,upper east side,murray hill,18
1,JFK,gravesend-sheepshead bay,3
1,JFK,LGA,2
1,soho,central park,2
1,east harlem,midtown,2
1,east harlem,upper east side,8
1,carnegie hill,murray hill,2
1,chelsea,murray hill,16
1,yorkville,clinton,2
1,upper west side,lower east side,4
1,morningside heights,JFK,2
1,murray hill,greenwich village,5
1,garment district,little italy,3
1,tribeca,upper west side,2
1,central park,north sutton area,1
1,gramercy,hamilton heights,1
1,upper east side,clinton,10
1,murray hill,LGA,1
1,chelsea,west village,22
1,garment district,yorkville,4
1,JFK,maspeth,2
1,chinatown,chinatown,2
1,financial district,midtown,18
1,upper east side,east harlem,15
1,murray hill,garment district,14
1,harlem,carnegie hill,2
1,upper east side,parkchester,2
1,gramercy,carnegie hill,4
1,upper west side,carnegie hill,9
1,upper west side,gramercy,17
1,williamsburg,park slope,2
1,chelsea,JFK,1
1,midtown,garment district,54
1,woodside,woodside,2
1,lower east side,lower east side,6
1,greenwich village,financial district,1
1,garment district,chelsea,26
1,soho,murray hill,4
1,west village,garment district,6
1,gramercy,LGA,4
1,LGA,north sutton area,2
1,middle village,JFK,1
1,clinton,upper east side,6
1,JFK,riverdale,2
1,central park,soho,3
1,little italy,chelsea,3
1,gramercy,sunny side,3
1,carroll gardens,fort green,4
1,midtown,lower east side,11
1,central park,upper west side,21
1,soho,washington heights,2
1,LGA,upper east side,9
1,garment district,williamsburg,2
1,carnegie hill,garment district,4
1,astoria-long island city,woodside,2
1,gramercy,garment district,61
1,midtown,tribeca,2
1,tribeca,fort green,1
1,LGA,yorkville,2
1,clinton,gramercy,10
1,central park,central park,11
1,soho,williamsburg,3
1,west village,soho,13
1,east village,chelsea,14
1,east village,upper east side,6
1,upper east side,greenwich village,12
1,LGA,JFK,3
1,financial district,east village,9
1,murray hill,yorkville,1
1,greenwich village,east village,9
1,chinatown,greenwich village,1
1,upper west side,fort green,1
1,central park,upper east side,22
1,east harlem,clinton,1
1,east village,murray hill,7
1,carroll gardens,battery park,1
1,gramercy,borough park,1
1,clinton,west village,15
1,tribeca,gramercy,2
1,lower east side,murray hill,8
1,east village,ridgewood,2
1,murray hill,clinton,2
1,west village,battery park,4
1,lower east side,east village,4
1,soho,east village,4
1,LGA,harlem,1
1,upper west side,east village,1
1,chelsea,washington heights,4
1,carroll gardens,park slope,1
1,greenwich village,soho,6
1,JFK,west village,1
1,north sutton area,harlem,3
1,upper east side,LGA,9
1,JFK,murray hill,10
1,battery park,garment district,3
