temp,from,to,count
2,upper west side,carnegie hill,11
2,upper west side,gramercy,11
2,JFK,flushing,3
2,jackson height,woodside,1
2,financial district,woodside,1
2,williamsburg,garment district,1
2,chelsea,JFK,9
2,midtown,garment district,217
2,garment district,morningside heights,3
2,JFK,williamsburg,4
2,hamilton heights,bedford-stuyvesant,1
2,JFK,bushwick,4
2,lower east side,lower east side,15
2,greenwich village,financial district,12
2,garment district,chelsea,46
2,soho,murray hill,7
2,boerum hill,cobble hill,1
2,west village,garment district,13
2,gramercy,LGA,18
2,fort green,carroll gardens,1
2,LGA,north sutton area,3
2,clinton,upper east side,13
2,boerum hill,bensonhurst,1
2,upper east side,williamsburg,1
2,central park,soho,1
2,astoria-long island city,east village,1
2,little italy,chelsea,6
2,gramercy,sunny side,6
2,financial district,fort green,1
2,JFK,fort green,13
2,gramercy,boerum hill,1
2,upper east side,bay ridge,2
2,chelsea,hamilton heights,3
2,LGA,west village,2
2,carroll gardens,fort green,1
2,midtown,lower east side,9
2,LGA,soho,2
2,central park,upper west side,36
2,LGA,upper east side,29
2,JFK,wakefield-williamsbridge,1
2,garment district,williamsburg,6
2,battery park,greenwich village,4
2,gramercy,garment district,87
2,JFK,gravesend-sheepshead bay,4
2,midtown,tribeca,19
2,north sutton area,carroll gardens,1
2,tribeca,sunny side,1
2,JFK,borough park,2
2,LGA,yorkville,1
2,clinton,gramercy,14
2,JFK,woodside,3
2,central park,central park,13
2,soho,williamsburg,3
2,clinton,JFK,8
2,upper west side,kings bridge,1
2,east harlem,harlem,3
2,midtown,gravesend-sheepshead bay,1
2,east village,chelsea,17
2,east village,upper east side,13
2,south bronx,south bronx,1
2,brooklyn-downtown,west village,1
2,upper east side,greenwich village,16
2,LGA,JFK,7
2,financial district,east village,11
2,murray hill,yorkville,3
2,jackson height,jackson height,5
2,greenwich village,east village,25
2,gramercy,chinatown,1
2,chinatown,greenwich village,5
2,yorkville,carnegie hill,3
2,upper west side,fort green,1
2,central park,upper east side,35
2,east village,murray hill,4
2,yorkville,sunny side,1
2,clinton,west village,6
2,tribeca,gramercy,7
2,greenwich village,astoria-long island city,1
2,chelsea,astoria-long island city,1
2,brooklyn-downtown,park slope,2
2,west village,east harlem,1
2,LGA,utopia,3
2,murray hill,clinton,20
2,sunny side,LGA,1
2,LGA,jamaica,4
2,upper east side,carroll gardens,2
2,soho,east village,6
2,LGA,middle village,1
2,LGA,harlem,8
2,JFK,harlem,4
2,upper west side,east village,5
2,mott haven,yorkville,1
2,sunny side,gramercy,1
2,JFK,central park,2
2,astoria-long island city,upper east side,3
2,greenwich village,soho,38
2,JFK,west village,7
2,cobble hill,carroll gardens,1
2,LGA,queensboro hill,1
2,JFK,murray hill,13
2,brooklyn-downtown,bushwick,2
2,battery park,garment district,14
2,gramercy,inwood,1
2,financial district,tribeca,10
2,williamsburg,bedford-stuyvesant,1
2,forest hills,kwq gardens,1
2,east village,fort green,1
2,carroll gardens,carroll gardens,1
2,north sutton area,upper west side,2
2,tribeca,financial district,14
2,clinton,chelsea,34
2,upper east side,carnegie hill,68
2,clinton,yorkville,1
2,murray hill,kwq gardens,1
2,JFK,east brooklyn,2
2,gramercy,lower east side,19
2,east village,JFK,3
2,clinton,flushing,1
2,LGA,park slope,11
2,murray hill,east village,11
2,upper west side,midtown,115
2,west village,JFK,3
2,washington heights,morningside heights,1
2,astoria-long island city,north sutton area,1
2,lower east side,north sutton area,1
2,yorkville,garment district,2
2,murray hill,upper west side,16
2,LGA,financial district,13
2,soho,tribeca,16
2,LGA,bay ridge,2
2,murray hill,soho,11
2,financial district,bay ridge,1
2,garment district,park slope,3
2,midtown,financial district,19
2,LGA,fort green,8
2,chinatown,chelsea,3
2,north sutton area,chelsea,1
2,financial district,dyker heights,1
2,gramercy,hamilton heights,1
2,upper west side,north sutton area,3
2,midtown,kings bridge,1
2,upper east side,upper west side,163
2,JFK,jamaica,3
2,west village,tribeca,7
2,central park,clinton,2
2,garment district,LGA,7
2,upper east side,soho,6
2,gramercy,greenwich village,60
2,murray hill,carnegie hill,4
2,sunny side,sunny side,21
2,midtown,jackson height,3
2,JFK,clearview,1
2,LGA,greenwich village,5
2,JFK,utopia,1
2,clinton,fort green,1
2,garment district,upper east side,52
2,clinton,morningside heights,1
2,west village,east village,4
2,upper west side,greenwich village,5
2,lower east side,tribeca,2
2,murray hill,forest hills,1
2,greenwich village,harlem,4
2,JFK,lower east side,12
2,morningside heights,morningside heights,8
2,battery park,soho,7
2,flushing,LGA,1
2,tribeca,boerum hill,2
2,financial district,financial district,23
2,mott haven,east harlem,1
2,tribeca,carnegie hill,1
2,kwq gardens,chelsea,1
2,little italy,murray hill,3
2,midtown,midtown,412
2,upper west side,soho,1
2,midtown,gramercy,180
2,financial district,gramercy,19
2,midtown,JFK,47
2,garment district,lower east side,12
2,yorkville,high bridge,1
2,hamilton heights,hamilton heights,1
2,murray hill,battery park,2
2,JFK,washington heights,4
2,tribeca,garment district,9
2,lower east side,park slope,2
2,clinton,murray hill,10
2,battery park,chelsea,6
2,LGA,kwq gardens,1
2,tribeca,battery park,7
2,gramercy,west village,17
2,carnegie hill,upper west side,24
2,greenwich village,greenwich village,43
2,garment district,midtown,169
2,JFK,canarsie,5
2,yorkville,gramercy,2
2,upper east side,harlem,18
2,chelsea,garment district,95
2,financial district,clinton,10
2,JFK,boerum hill,1
2,north sutton area,central park,2
2,yorkville,financial district,2
2,astoria-long island city,jackson height,1
2,soho,gramercy,19
2,morningside heights,yorkville,1
2,yorkville,harlem,9
2,sunny side,fort green,1
2,midtown,sunny side,5
2,gramercy,gramercy,113
2,lower east side,soho,8
2,tribeca,midtown,14
2,chelsea,east village,29
2,yorkville,yorkville,4
2,north sutton area,upper east side,23
2,clinton,tribeca,5
2,chinatown,battery park,2
2,morningside heights,east harlem,3
2,chinatown,clinton,1
2,lower east side,midtown,13
2,murray hill,dyker heights,1
2,soho,kwq gardens,1
2,tribeca,lower east side,4
2,central park,JFK,3
2,high bridge,midtown,1
2,little italy,upper west side,1
2,tribeca,murray hill,5
2,garment district,north sutton area,6
2,greenwich village,garment district,43
2,soho,greenwich village,24
2,LGA,lower east side,5
2,gramercy,chelsea,74
2,upper east side,financial district,10
2,LGA,central park,8
2,chelsea,greenwich village,73
2,chelsea,little italy,6
2,garment district,boerum hill,1
2,upper east side,fort green,1
2,murray hill,sunset park,1
2,garment district,harlem,4
2,little italy,west village,1
2,clinton,park slope,2
2,upper west side,clinton,24
2,financial district,soho,11
2,chelsea,LGA,6
2,central park,LGA,2
2,midtown,astoria-long island city,2
