YR--MODAHRMN,TEMP
201507150051,75
201507150151,75
201507150251,****
201507150300,75
201507150351,75
201507150449,75
201507150451,74
201507150459,74
201507150549,73
201507150551,73
201507150600,73
201507150651,74
201507150751,73
201507150851,75
201507150900,75
201507150945,75
201507150951,76
201507151009,76
201507151049,79
201507151051,79
201507151143,81
201507151151,81
201507151200,80
201507151249,79
201507151251,79
201507151305,79
201507151349,77
201507151351,73
201507151451,76
201507151500,75
201507151539,75
201507151551,77
201507151635,77
201507151651,75
201507151718,79
201507151739,82
201507151751,82
201507151800,82
201507151851,79
201507151951,78
201507152051,78
201507152100,76
201507152151,75
201507152251,74
201507152351,74
201507160000,74
201507160051,73
201507160151,****
201507160251,73
201507160300,73
201507160351,70
201507160451,68
201507160459,67
201507160551,67
201507160600,66
201507160651,66
201507160751,68
201507160851,68
201507160900,70
201507160951,73
201507161051,74
201507161151,74
201507161200,76
201507161251,77
201507161351,78
201507161451,78
201507161500,76
201507161551,76
201507161651,75
201507161751,75
201507161800,75
201507161851,75
201507161951,72
201507162051,72
201507162100,70
201507162151,70
201507162251,69
201507162351,69
201507170000,69
201507170051,68
201507170151,****
201507170251,67
201507170300,67
201507170351,67
201507170451,67
201507170459,67
201507170551,67
201507170600,67
201507170651,69
201507170751,72
201507170851,72
201507170900,74
201507170951,75
201507171051,76
201507171151,76
201507171200,77
201507171251,78
201507171351,79
201507171451,79
201507171500,78
201507171551,78
201507171651,78
201507171751,78
201507171800,76
201507171851,74
201507171951,73
201507172051,73
201507172100,73
201507172151,73
201507172251,73
201507172351,73
201507180000,73
201507180051,73
201507180151,****
201507180251,73
201507180300,73
201507180351,74
201507180451,74
201507180459,74
201507180551,74
201507180600,74
201507180651,74
201507180751,75
201507180851,75
201507180900,75
201507180951,75
201507181051,73
201507181151,73
201507181200,76
201507181251,76
201507181309,81
201507181342,79
201507181351,79
201507181451,80
201507181500,80
201507181551,81
201507181639,82
201507181651,82
201507181751,80
201507181800,80
201507181851,80
201507181906,78
201507181951,77
201507182051,77
201507182100,76
201507182151,76
201507182251,76
201507182351,76
201507190000,76
201507190051,75
201507190151,****
201507190251,75
201507190300,75
201507190351,75
201507190451,75
201507190459,75
201507190551,75
201507190600,75
201507190651,76
201507190751,78
201507190851,78
201507190900,81
201507190951,83
201507191051,84
201507191151,84
201507191200,84
201507191251,87
201507191351,87
201507191451,87
201507191500,87
201507191501,88
201507191551,88
201507191651,86
201507191751,86
201507191800,84
201507191851,83
201507191951,80
201507192051,80
201507192100,79
201507192151,80
201507192251,80
201507192351,80
201507200000,81
201507200051,82
201507200151,****
201507200251,82
201507200300,82
201507200351,81
201507200451,80
201507200459,80
201507200551,80
201507200600,79
201507200651,82
201507200751,87
201507200851,87
201507200900,90
201507200951,92
201507201051,92
201507201151,92
201507201200,92
201507201251,93
201507201351,94
201507201451,94
201507201500,93
201507201551,93
201507201651,90
201507201751,90
201507201800,86
201507201851,84
201507201951,82
201507202051,82
201507202100,84
201507202151,88
201507202251,88
201507202351,88
201507210000,85
201507210051,82
201507210151,****
201507210251,80
201507210300,80
201507210351,81
201507210451,81
201507210459,79
201507210551,79
201507210600,80
201507210651,80
201507210751,83
201507210851,83
201507210900,86
201507210951,88
201507211051,86
201507211151,86
201507211200,86
201507211251,86
201507211351,86
201507211451,86
201507211500,87
201507211551,87
201507211651,87
201507211751,87
201507211800,83
201507211851,82
201507211951,79
201507212051,79
201507212100,81
201507212151,82
201507212251,80
201507212351,80
201507220000,79
201507220051,77
201507220151,****
201507220251,75
201507220300,75
201507220351,74
201507220451,73
201507220459,72
201507220551,72
201507220600,72
201507220651,73
